# Switch — blawar/titledb (full title IDs)
0100000000010000,Super Mario Odyssey™
010000000e5ee000,8-BIT YU-NO'S GREAT ADVENTURE
010000000eef0000,Shadows 2: Perfidia
0100000011d90000,Pokémon™ Brilliant Diamond
010000001260e000,KIDS: FARM COLORING
01000000160f6000,Bouncy Bullets 2
010000001f858000,The Safe Place
010000100c4b8000,Jamestown+
010000100fb62000,Willy Jetman: Astromonkey's Revenge
0100001017216000,Labyrinth of Galleria: The Moon Society
0100001017217002,Labyrinth of Galleria: The Moon Society – Special Soul Pact Quest
0100001017217003,Labyrinth of Galleria: The Moon Society – Great Hat Quest
0100001017217004,Labyrinth of Galleria: The Moon Society – Great Boots Quest
0100001017fd6000,Dragon Caffi
0100001019f6e000,Horizon Chase 2
010000201af8e000,Wizards Tourney
010000201e22e000,Galactic Wars: Defend Your Star Worlds
010000300b4ee000,STUMP
010000300c79c000,GensokyoDefenders
010000300c79d001,Gensokyo Defenders Plus
010000301025a000,Worlds of Magic: Planar Conquest
01000030146be000,Animal Bomber
01000030151b0000,Lost Lands: Ice Spell
010000301d428000,Redgar: The Space Viking
010000301e9a0000,Brain Memory 2
010000301e9a1001,Covers Pack
010000301e9a1002,Cards Pack 1
010000301e9a1003,Cards Pack 2
010000301e9a1004,Cards Pack 3
010000301e9a1005,Cards Pack 4
0100003020dd4000,Uragun
0100003023e4c000,Formula Racing GP: Apex Overtaking
010000400f582000,TT Isle of Man Ride on the Edge 2
010000400f583001,TT Isle of Man 2 Ducati 900SS TT - Mike Hailwood 1978
010000400f583002,TT Isle of Man 2 Pro Newcomer Pack
010000401313a000,Demong Hunter
0100004017e54000,Run Box Run
010000401fff2000,City Driver: Police Parking Simulator
0100004024af0000,SEA POWER NAVAL BATTLE COMBAT
0100005006ba4000,The Keep
010000500b9f4000,Minesweeper Genius
010000500db50000,Super Tennis Blast
010000501492e000,The Last Dragon Slayer
0100005018a96000,Archery Escape
0100005019ba8000,This Means Warp
010000501de0a000,Arcade Archives NUMAN ATHLETICS
0100005020000000,Basketball Anime Girls
0100005024b90000,Car Parking - Garage Simulator
01000060085d2000,A Hole New World
010000600cd54000,Rad Rodgers Radical Edition
0100006013a4a000,Shinobi Blade
010000601e900000,Me and gamer girl ゲーマー女子と引きこもり
010000700a572000,State of Anarchy: Master of Mayhem
010000700f292000,Arcade Archives THE TIN STAR
010000701aba2000,Ramp Car Racing
01000070270e2000,Snack and Quack: Duckling Steps
010000801e726000,LET'S THROOOW! Street Basketball Simulator
010000900f710000,Treehouse Riddle
0100009013566000,There Is No Game: Wrong Dimension
01000090210f2000,The Mansion of The Macabre
010000902213c000,ESCAPE SITE 13
01000090248fc000,Mindfulness Moments
010000a00218e000,Splatoon™ 2 Global Testfire
010000a00ca78000,Chalk Dash Carnival
010000a014e5a000,Rally Racer: Offroad Racing Car Game
010000a017f96000,Gori: Cuddly Carnage
010000a017f97001,Gori: Cuddly Carnage - Change Skin Pack
010000a017f97002,Gori: Cuddly Carnage - Day One Skin Pack
010000a017f97003,Gori Cuddly Carnage : Neon Neko Triple Skin Pack
010000a017f97004,Gori : Cuddly Carnage - Chinese Dragon premium Skin Pack
010000a01de72000,Musashi vs Cthulhu
010000b00d800000,The Church in the Darkness
010000b018892000,The Minesweeper: Crew Bomber Expedition
010000b01a452000,Jujutsu Kaisen Cursed Clash
010000b01a453001,Jujutsu Kaisen Cursed Clash - Jujutsu High First-Years Outfit Set
010000b01a453007,Jujutsu Kaisen Cursed Clash - Hidden Inventory/Premature Death
010000b01a453008,Jujutsu Kaisen Cursed Clash - Shibuya Incident
010000b01a45300a,Jujutsu Kaisen Cursed Clash - Anime Ending Theme 1 Outfit Set
010000b01a45300b,Jujutsu Kaisen Cursed Clash - Kyoto Jujutsu High School Girls' Outfit Set
010000b024010000,Zumba - Marble Candy Rush
010000b025162000,Korean Drone Flying Tour Okcheon-gun
010000c010e76000,Pocket Mini Golf
010000c010e77001,Fairway
010000c013c42000,Ken Follett's The Pillars of the Earth
010000c01cdd0000,Kumakichi's Birth ☆ Destruction God
010000c01f5a2000,Moorhuhn Kart 4
010000d00f81a000,Super Korotama
010000d016fc2000,Space Warlord Organ Trading Simulator
010000d017aba000,QUByte Classics: Zero Tolerance Collection by PIKO
010000d023354000,Brain Teaser! Spin & Build Castle
010000e00e612000,Pixel Puzzle Makeout League
010000e011176000,Rover Wars
010000e0145ba000,Stonefly
010000e015046000,Eternal Hope
010000e0161bc000,HIM & HER 3
010000e016dde000,Construction Site Driver
010000e01ccde000,Wizard Hunter: The End of the Magic World
010000e022d7a000,Bubble Trouble
010000e024db0000,The Cloud Forest
010000f00bf68000,Black and White Bushido
010000f012936000,Agatha Christie - Hercule Poirot: The First Cases
010000f013e10000,Pineview Drive
010000f0154c8000,Wild Card Football
010001000eb0c000,Circuit Superstars
010001000eb0d001,Top Gear Time Attack - Free DLC included with purchase
010001000eb0d002,Top Gear: The Stig Challenge
0100010016026000,Block Puzzle
010001001997c000,Pixel Family Fun
010001001997d001,Dance
010001001997d002,School
010001001997d003,Style
010001001997d004,Success
010001001d5d6000,Military Combat Shooter Desert War
010001001e110000,Steam Prison -Beyond the Steam-
010001002677c000,Star Freight
0100011005d92000,Batman - The Telltale Series
0100011005d9306a,Telltale Batman Shadows Mode
010001100e708000,Skybolt Zack
0100011012a70000,WeakWood Throne
010001102705a000,Night Club Manager Simulator
0100011028898000,Minesweeper Pro
010001300cc4a000,Unruly Heroes
010001300d14a000,Castle Crashers Remastered
0100013010456000,Doggie Ninja The Burning Strikers
01000130120ee000,Fuga: Melodies of Steel
01000130120ef001,Fuga: Melodies of Steel - Deluxe Edition Upgrade Pack
01000130120ef002,Fuga: Melodies of Steel - Back to School Costume Pack
01000130120ef003,Fuga: Melodies of Steel - Way of the Sword Costume Pack
01000130120ef004,Fuga: Melodies of Steel - Fantasy Costume Pack
0100013012e4e000,Legends of Talia: Arcadia
0100013013f30000,What Comes After
0100013018030000,My Divorce Story
010001301ff9e000,Treasure Hunt on a World Trip
01000130218fe000,Dino Market
010001400e474000,Subdivision Infinity DX
01000150253e0000,Fishing Pro Simulator
010001502542a000,Dunk Trickster
0100016007154000,Antiquia Lost
0100016007155001,Experience Value Crystal
0100016007155002,SP Crystal
0100016007155003,Skill Level Crystal
0100016007155004,Boost Bead Set
0100016007155005,Battle Encounter Bead
010001600c962000,BOMBFEST
010001600d1e8000,Cube Creator X
0100016011a1a000,Ship Simulator
01000160127ec000,Professor Rubik's Brain Fitness
0100016012d38000,BIT.TRIP CORE
010001601590e000,Marbles Rush
0100016018864000,Pathfinder: Wrath of the Righteous - Cloud Version
0100016018865001,Pathfinder: Wrath of the Righteous - Inevitable Excess
0100016018865002,Pathfinder: Wrath of the Righteous - Through the Ashes
0100016018865003,Pathfinder: Wrath of the Righteous - The Treasure of the Midnight Isles
0100016018865004,Pathfinder: Wrath of the Righteous - The Last Sarkorians
0100016018865005,Pathfinder: Wrath of the Righteous - The Lord of Nothing
0100016018865006,Pathfinder: Wrath of the Righteous - A Dance of Masks
01000160262f0000,EGGCONSOLE Carbuncle Pi MSX2
0100016027238000,Asphalt Racing Bundle 3 in 1
0100017007980000,Hotel Transylvania 3 Monsters Overboard
010001701248c000,Super Monkey Ball Banana Mania
010001701248d001,Classic Soundtrack
010001701248d002,Customization Pack
010001701248d003,Classic Character Pack
010001701248d004,SEGA Legends Pack
010001701248d005,Golden Banana Mode
010001701248d006,Bonus Cosmetic Pack
010001701248d009,Hello Kitty
010001701248d00a,Morgana
010001701248d00b,Suezo
010001701248d00c,Headwear Pack
0100017019c4a000,Rocket Knight Adventures: Re-Sparked
01000170203f8000,The Little Mermaid: Ariel and the Star Festival
0100017023526000,Lucy and the Talking Cat: The Secret Cat Kingdom
010001800dba6000,Winter Sports Games
0100018013124000,Lost Words: Beyond the Page
0100018024c42000,Winx Club: The Magic is Back
0100019006f4e000,I Am The Hero
010001900bdca000,Season Match
010001a00a1f6000,Knock-Knock
010001a015ab2000,Brain Meltdown - Into Despair
010001a01e09e000,Corgi´s Travel
010001b005e5c000,Double Dragon 4
010001b01398c000,Spirit Arena
010001b018734000,SuperDuck!
010001b019b62000,Iron Lung
010001b01aaf4000,Moons of Darsalon
010001c011354000,Aeolis Tournament
010001c016a78000,Alexio
010001c01bcac000,Cynthia: Hidden in the Moonshadow
010001c01bcad001,Cynthia: Hidden in the Moonshadow - 'Cyberthia' Costume
010001c01bcad002,Cynthia: Hidden in the Moonshadow - 'Tropical Blossom' Costume
010001c01bcad003,Cynthia: Hidden in the Moonshadow - 'Xmas' Costume
010001c01bcad004,Cynthia: HitM - Accessory Pack #1
010001c01bcad005,Cynthia: HitM - Accessory Pack #2
010001c01bcad006,Cynthia: HitM - Accessory Pack #3
010001c01d072000,Meaning of Symbols
010001d014348000,Inexistence Rebirth
010001e00a5f6000,AngerForce: Reloaded for Nintendo Switch
010001e00f75a000,Alchemist's Castle
010001e024928000,Alfie Atkins Game Collection
010001e025cce000,Wander Scoop
010001e02636a000,Fortuna Magus
010001e02636b001,Experience x3 - Fortuna Magus
010001e02636b002,No Encounters - Fortuna Magus
010001e02636b003,Damage x2 - Fortuna Magus
010001f00d9b8000,Riddled Corpses EX Demo
010001f0145a8000,Isolomus
010001f014d9a000,Dodgeball Academia
010001f01bab4000,BOKURA
010001f0213e6000,SMILE SIMULATION
010002001ddf0000,Beach Boys 2: Zodiac Date
0100020027ec8000,Lost Little Things
010002100cdcc000,Peaky Blinders: Mastermind
010002101ce5a000,Aureole - Wings of Hope
010002101fd6e000,Tactical Strike: Special Forces Shooter
010002200ceca000,Cinderella - An Interactive Fairytale
01000220158c4000,3D Air Hockey
01000220181bc000,The Grinch: Christmas Adventures
01000220181bd001,The Grinch: Christmas Adventures - Determined to Love Christmas
01000220183c0000,Moorhuhn Jump and Run 'Traps and Treasures 3'
0100022023554000,The Palace on the Hill
01000220255a2000,Highway Traffic Pro
0100022028200000,Pocket Ludo
010002300c632000,Fairy Fencer F™: Advent Dark Force
0100023012640000,Slots of Poker at Aces Casino
010002301d62a000,MechanixMind: IQ Puzzle Adventure
010002302429a000,Cottonville
010002302429b001,Halloween Outfits Pack
010002302429b002,High Couture Outfits Pack
010002302429b003,Holidays Outfits Pack
010002302429b004,Japan 90s Outfits Pack
010002302429b005,Love Outfits Pack
010002302429b006,Winter Outfits Pack
0100023024a74000,Kawaii Girls: Spicy Scientist
0100023024f00000,Blast Linkers
0100024008310000,Street Fighter 30th Anniversary Collection
010002400f408000,Code: Realize ~Future Blessings~
0100024011858000,Doubles Hard
010002401ae94000,Tiny Thor
010002502620a000,Korean Monorail Panorama Line Soisan
0100026016320000,River City Girls 2
0100026016321001,River City Girls 2: Double Dragon DLC
0100026019f80000,CRYSTORLD
010002601e2a6000,TriggerHeart EXELICA
0100026026700000,Lotzo and The Ray of Light
010002700c34c000,Numbala
0100027017d4c000,Beasties
010002800b818000,Velocity®2X
010002801de5e000,Tokyo Cooking
010002801de5f001,Oceanic Fish Set
010002801de5f002,Cherry Blossom Set
010002801de5f003,Majestic Fuji Set
010002801de5f004,Sky Heron Set
0100028025f70000,GET FIT – Women’s Fitness
010002900294a000,NBA Playgrounds
010002900b75a000,Palm Reading Premium
0100029025110000,Sky Love Girls: Flight Attendant Crush
010002a00cc42000,Clock Simulator
010002a00cd68000,Indiecalypse
010002a00d168000,Piczle Colors Demo
010002a01abf8000,Inspector Gadget: MAD Time Party
010002a020dbe000,FREEDOM WARS Remastered - Digital Art Book
010002b00c534000,American Fugitive
010002b013452000,Doodle Games Bundle
010002b018d4e000,Japanese Escape Games The Hotel of Tricks
010002c017a90000,Drunken Fist 2 : Zombie Hangover
010002c01a710000,PUTRID SHOT ULTRA
010002c01f772000,Guess the Flag!
010002c024064000,3 Card Poker
010002c0254d0000,Tune My Car - Tuning Studio & Mechanic Simulator 2026
010002d00632e000,Yoku's Island Express
010002d00edd0000,JDM Racing
010002d01b760000,I'LL KILL HER
010002e00d3fe000,Arcade Archives DONKEY KONG 3
010002e01825e000,Mysteries Under Lake Ophelia
010002e01b4bc000,Heartbeat Hospital: Love, Lies, and Betrayal
010002e01dd54000,Tennis 2024 Simulator
010002e01ebf6000,A Cat & His Boy
010002f001220000,NAMCO MUSEUM
010002f009a7a000,Road to Ballhalla
010002f00cc20000,FUN! FUN! Animal Park
010002f01a97a000,Toziuha Night: Dracula's Revenge
010002f01d87a000,Soul Link
010002f01e86a000,Make It Fly!
010003000e146000,Mario & Sonic at the Olympic Games Tokyo 2020
0100030012e82000,Laid-Back Camp - Virtual - Fumoto Campsite
010003001536e000,Christmas Tina
010003001536f001,Christmas Tina DLC
0100030021a36000,Gunso's Skateboard Run
010003100f1f4000,CrunchTime
0100031013cb2000,Endless Memories
0100031018cfe000,Touhou Gouyoku Ibun ～ Sunken Fossil World.
010003101e676000,Lesson Learned
01000310223ca000,Sniper Scope: Realistic Tactical Shooter
01000320000cc000,1-2-Switch™
01000320060ac000,OTTTD: Over The Top Tower Defense
01000320110c2000,She Sees Red - Interactive Movie
0100032016af6000,Detective Di: The Silk Rose Murders
01000320190e8000,Pid
01000320190e9001,Artbook
010003201a0b4000,Kingdom Eighties
010003201c12a000,HexaWars
01000330105be000,Darius Cozmic Collection Console
010003301911c000,Shotgun King: The Final Checkmate
010003301dd0c000,Vampire: The Masquerade - Reckoning of New York
010003301e4dc000,Morsels
0100033027d90000,28 Days Train Wreck Survivor
0100034012606000,Family Mysteries: Poisonous Promises
010003401564e000,Car Driving Simulator
0100034019a9a000,Flame Keeper
0100034019a9b001,Flame Keeper - Artbook
010003402139e000,Kiting Cat
0100034027c06000,Dog Chaos
0100035013a26000,Finding Paradise
0100035019c74000,The Companion
010003501b8f4000,World War: Combat Guardian
0100035024b20000,Double Dragon Revive Digital Artworks
0100035024ee0000,The Artifactory
0100035025d08000,Hentai Desire: Sexy Waifus
010003502862c000,Wantama☆Life
01000360107bc000,911 Operator Deluxe Edition
010003601b1c0000,The Excrawlers
010003601fea6000,Moe Waifu H Genius
010003701002c000,Nurse Love Syndrome
0100037025ad6000,Hole Digging Beach Simulator
0100038013a98000,G-MODE Archives25 Topolon
0100038019968000,SUBWAY MIDNIGHT
